latitude,longitude,time,call_duration,call_type,respTime
1.318656798,-0.607558625,-0.263411933,0.486963485,0,1.283333333
-2.072568,1.280460501,-0.247253787,-0.658987399,0,7.133333333
-0.378656941,-1.4869868,-0.220833033,-0.429797222,0,5.383333333
0.539991175,0.428096713,-0.216859002,0.041315919,0,8.95
0.6208564,0.432013191,-0.20498058,-1.117367752,0,6.616666667
-1.775409199,-0.262695672,-0.178385144,-1.117367752,2,3.683333333
0.366721758,0.918636657,-0.165764321,-0.518926735,0,8.183333335
-2.379157486,0.408425844,-0.164148506,-0.748116912,0,7.2
0.539991175,0.428096713,-0.15982511,-0.633521824,0,9.083333333
1.489875727,0.33062219,-0.161571937,0.983542201,0,3.775
0.495872827,-0.179415749,-0.15327451,0.245040521,1,5.433333333
0.66624934,0.59695647,-0.124888576,1.174534015,0,9.749999999
0.036515463,-0.909925327,-0.110651939,-1.117367752,0,11.4
0.567065311,0.300314359,-0.111569023,-0.187874258,0,2.9
-0.068229447,0.160756347,-0.105455129,-0.429797222,0,3.516666667
-0.039395279,-1.162017793,-0.07999513,-1.117367752,0,8.383333333
-1.362590728,-0.027149013,-0.069339488,-1.117367752,0,12.1
0.400141071,-2.782622119,-0.063138253,0.639756936,0,8.1
-2.395640709,0.127378455,-0.054054754,0.46149791,2,5.1625
0.319285476,1.139760788,-0.036411804,0.321437246,0,2.116666667
0.598790961,1.377722601,-0.022611873,-0.213339833,0,6.35
1.475890141,-1.167947088,-0.025581479,0.958076626,0,12.88333333
-0.107170355,1.120378093,-0.018768855,0.627024148,0,9.308333335
-0.040300124,-0.51266396,-0.004401205,-0.646254611,0,3.75
-2.108637301,-2.168916688,-0.006934104,1.047206139,0,7.508333333
0.500292891,0.594641912,0.008699995,-1.117367752,0,16.01666667
-0.619706562,-2.717292616,0.006691144,0.346902821,0,21.25
0.694461224,0.367040752,0.014158829,1.225465166,0,5.1
0.688168832,0.173597949,0.043112481,-1.117367752,0,3.483333333
-2.2627083,-0.72065186,0.04437893,0.894412688,0,10.08333333
-1.467932448,-0.89512522,0.049837764,-0.251538196,0,4.344444444
0.487014169,-1.855415763,0.054859891,2.358683262,0,2.916666666
-0.178696466,-2.954981364,0.07774332,-1.117367752,3,8.058333334
-2.225848488,-0.325686641,0.083202154,-0.49346116,0,5.816666667
0.460919669,0.283361527,0.088529975,-1.117367752,0,3.441666667
-2.344609272,-1.518212669,0.092067299,1.250930741,0,16.49166667
1.006790044,0.016953383,0.099622325,-0.506193948,0,3.25
0.463297519,-2.333843739,0.101238139,-0.684452974,0,2.95
-1.054743216,0.533566864,0.098748911,1.480120918,0,12.13333333
0.598790961,1.377722601,0.11433934,-0.340667709,0,2.433333333
